"Protein ID","Gene Name","X2D_vs_X3D_log2 fold change","X2D_vs_X3D_p.val","X2D_vs_X3D_p.adj","significant","X2D_vs_X3D_significant","imputed","num_NAs","Description"
"A1L3X0","ELOVL7",1.23,2.64e-05,0.00147,TRUE,TRUE,FALSE,0,"Very long chain fatty acid elongase 7"
"O00767","SCD",1.05,0.00148,0.00993,TRUE,TRUE,FALSE,0,"Stearoyl-CoA desaturase"
"O15438","ABCC3",-1.04,3.21e-05,0.0016,TRUE,TRUE,FALSE,0,"ATP-binding cassette sub-family C member 3"
"O43490","PROM1",-1.12,0.000216,0.00381,TRUE,TRUE,FALSE,0,"Prominin-1"
"O60422","ONECUT3",1.17,0.000219,0.00381,TRUE,TRUE,FALSE,0,"One cut domain family member 3"
"O75616","ERAL1",1.17,2.23e-05,0.00134,TRUE,TRUE,FALSE,0,"GTPase Era, mitochondrial"
"O75891","ALDH1L1",-1.95,2.76e-07,0.000241,TRUE,TRUE,FALSE,0,"Cytosolic 10-formyltetrahydrofolate dehydrogenase"
"O94901","SUN1",1.1,0.000319,0.00445,TRUE,TRUE,FALSE,0,"SUN domain-containing protein 1"
"O95163","ELP1",-1.03,0.000177,0.00339,TRUE,TRUE,FALSE,0,"Elongator complex protein 1"
"P00533","EGFR",1.05,5.13e-06,0.000651,TRUE,TRUE,FALSE,0,"Epidermal growth factor receptor"
"P02786","TFRC",1.55,3.62e-07,0.000241,TRUE,TRUE,FALSE,0,"Transferrin receptor protein 1"
"P04908","H2AC4",1.15,0.00116,0.00872,TRUE,TRUE,FALSE,0,"Histone H2A type 1-B/E"
"P06899","H2BC11",1.05,0.000687,0.00661,TRUE,TRUE,FALSE,0,"Histone H2B type 1-J"
"P07203","GPX1",-1.85,6.33e-08,0.000232,TRUE,TRUE,FALSE,0,"Glutathione peroxidase 1"
"P08581","MET",1.25,0.000719,0.0067,TRUE,TRUE,FALSE,0,"Hepatocyte growth factor receptor"
"P09758","TACSTD2",1.13,8.18e-06,0.000789,TRUE,TRUE,FALSE,0,"Tumor-associated calcium signal transducer 2"
"P11166","SLC2A1",1.35,2.3e-06,0.000536,TRUE,TRUE,FALSE,0,"Solute carrier family 2, facilitated glucose transporter member 1"
"P11387","TOP1",1.19,0.000178,0.00339,TRUE,TRUE,FALSE,0,"DNA topoisomerase 1"
"P13995","MTHFD2",1.22,3.13e-05,0.00159,TRUE,TRUE,FALSE,0,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial"
"P15151","PVR",1.26,0.000106,0.00277,TRUE,TRUE,FALSE,0,"Poliovirus receptor"
"P15559","NQO1",-1.22,1.53e-06,0.000469,TRUE,TRUE,FALSE,0,"NAD(P)H dehydrogenase [quinone] 1"
"P17301","ITGA2",1.08,4.93e-05,0.00188,TRUE,TRUE,FALSE,0,"Integrin alpha-2"
"P18510","IL1RN",1.03,0.000592,0.00617,TRUE,TRUE,FALSE,0,"Interleukin-1 receptor antagonist protein"
"P21926","CD9",2,1.55e-05,0.00108,TRUE,TRUE,FALSE,0,"CD9 antigen"
"P28340","POLD1",-1.22,5.92e-06,0.000679,TRUE,TRUE,FALSE,0,"DNA polymerase delta catalytic subunit"
"P29317","EPHA2",1.54,4.39e-07,0.000241,TRUE,TRUE,FALSE,0,"Ephrin type-A receptor 2"
"P32456","GBP2",-1.18,5.15e-06,0.000651,TRUE,TRUE,FALSE,0,"Guanylate-binding protein 2"
"P34949","MPI",-1.07,6.89e-06,0.000715,TRUE,TRUE,FALSE,0,"Mannose-6-phosphate isomerase"
"P35754","GLRX",-1.25,4.39e-06,0.000651,TRUE,TRUE,FALSE,0,"Glutaredoxin-1"
"P37268","FDFT1",1.31,8.22e-05,0.00251,TRUE,TRUE,FALSE,0,"Squalene synthase"
"P41212","ETV6",-1.04,0.000499,0.00568,TRUE,TRUE,FALSE,0,"Transcription factor ETV6"
"P42830","CXCL5",1.54,3.08e-05,0.00159,TRUE,TRUE,FALSE,0,"C-X-C motif chemokine 5"
"P46976","GYG1",1.08,2.92e-06,0.000536,TRUE,TRUE,FALSE,0,"Glycogenin-1"
"P48200","IREB2",1.24,2.17e-07,0.000241,TRUE,TRUE,FALSE,0,"Iron-responsive element-binding protein 2"
"P54709","ATP1B3",1.13,1.49e-05,0.00108,TRUE,TRUE,FALSE,0,"Sodium/potassium-transporting ATPase subunit beta-3"
