source name	characteristics[organism]	characteristics[cell line]	characteristics[disease]	characteristics[culture condition]	characteristics[biological replicate]	characteristics[harvest day]	assay name	comment[technical replicate]	comment[data file raw]	comment[data file mzML]	comment[instrument]	comment[LC]	comment[acquisition]	factor value[culture condition]
Calu-3_N1_2D	Homo sapiens	Calu-3 (BCRJ 0264; ATCC HTB-55)	lung adenocarcinoma	2D monolayer on tissue-culture plastic	N1	day 7	run_N1_2D_1	1	N1_2D_1.raw	N1_2D_1.mzML	Thermo Orbitrap Exploris 240	EASY-nLC 1200	data-dependent acquisition (DDA)	2D
Calu-3_N1_2D	Homo sapiens	Calu-3 (BCRJ 0264; ATCC HTB-55)	lung adenocarcinoma	2D monolayer on tissue-culture plastic	N1	day 7	run_N1_2D_2	2	N1_2D_2.raw	N1_2D_2.mzML	Thermo Orbitrap Exploris 240	EASY-nLC 1200	data-dependent acquisition (DDA)	2D
Calu-3_N1_3D	Homo sapiens	Calu-3 (BCRJ 0264; ATCC HTB-55)	lung adenocarcinoma	3D spheroid embedded in growth-factor-reduced Matrigel	N1	day 7	run_N1_3D_1	1	N1_3D_1.raw	N1_3D_1.mzML	Thermo Orbitrap Exploris 240	EASY-nLC 1200	data-dependent acquisition (DDA)	3D
Calu-3_N1_3D	Homo sapiens	Calu-3 (BCRJ 0264; ATCC HTB-55)	lung adenocarcinoma	3D spheroid embedded in growth-factor-reduced Matrigel	N1	day 7	run_N1_3D_2	2	N1_3D_2.raw	N1_3D_2.mzML	Thermo Orbitrap Exploris 240	EASY-nLC 1200	data-dependent acquisition (DDA)	3D
Calu-3_N2_2D	Homo sapiens	Calu-3 (BCRJ 0264; ATCC HTB-55)	lung adenocarcinoma	2D monolayer on tissue-culture plastic	N2	day 7	run_N2_2D_1	1	N2_2D_1.raw	N2_2D_1.mzML	Thermo Orbitrap Exploris 240	EASY-nLC 1200	data-dependent acquisition (DDA)	2D
Calu-3_N2_2D	Homo sapiens	Calu-3 (BCRJ 0264; ATCC HTB-55)	lung adenocarcinoma	2D monolayer on tissue-culture plastic	N2	day 7	run_N2_2D_2	2	N2_2D_2.raw	N2_2D_2.mzML	Thermo Orbitrap Exploris 240	EASY-nLC 1200	data-dependent acquisition (DDA)	2D
Calu-3_N2_3D	Homo sapiens	Calu-3 (BCRJ 0264; ATCC HTB-55)	lung adenocarcinoma	3D spheroid embedded in growth-factor-reduced Matrigel	N2	day 7	run_N2_3D_1	1	N2_3D_1.raw	N2_3D_1.mzML	Thermo Orbitrap Exploris 240	EASY-nLC 1200	data-dependent acquisition (DDA)	3D
Calu-3_N2_3D	Homo sapiens	Calu-3 (BCRJ 0264; ATCC HTB-55)	lung adenocarcinoma	3D spheroid embedded in growth-factor-reduced Matrigel	N2	day 7	run_N2_3D_2	2	N2_3D_2.raw	N2_3D_2.mzML	Thermo Orbitrap Exploris 240	EASY-nLC 1200	data-dependent acquisition (DDA)	3D
Calu-3_N3_2D	Homo sapiens	Calu-3 (BCRJ 0264; ATCC HTB-55)	lung adenocarcinoma	2D monolayer on tissue-culture plastic	N3	day 7	run_N3_2D_1	1	N3_2D_1.raw	N3_2D_1.mzML	Thermo Orbitrap Exploris 240	EASY-nLC 1200	data-dependent acquisition (DDA)	2D
Calu-3_N3_2D	Homo sapiens	Calu-3 (BCRJ 0264; ATCC HTB-55)	lung adenocarcinoma	2D monolayer on tissue-culture plastic	N3	day 7	run_N3_2D_2	2	N3_2D_2.raw	N3_2D_2.mzML	Thermo Orbitrap Exploris 240	EASY-nLC 1200	data-dependent acquisition (DDA)	2D
Calu-3_N3_3D	Homo sapiens	Calu-3 (BCRJ 0264; ATCC HTB-55)	lung adenocarcinoma	3D spheroid embedded in growth-factor-reduced Matrigel	N3	day 7	run_N3_3D_1	1	N3_3D_1.raw	N3_3D_1.mzML	Thermo Orbitrap Exploris 240	EASY-nLC 1200	data-dependent acquisition (DDA)	3D
Calu-3_N3_3D	Homo sapiens	Calu-3 (BCRJ 0264; ATCC HTB-55)	lung adenocarcinoma	3D spheroid embedded in growth-factor-reduced Matrigel	N3	day 7	run_N3_3D_2	2	N3_3D_2.raw	N3_3D_2.mzML	Thermo Orbitrap Exploris 240	EASY-nLC 1200	data-dependent acquisition (DDA)	3D
