uniprot,gene,log2FC_2Dvs3D,padj,dir_3D,description
Q92597,NDRG1,-2.04,0.00117,up_in_3D,Protein NDRG1
O75891,ALDH1L1,-1.95,0.000241,up_in_3D,Cytosolic 10-formyltetrahydrofolate dehydrogenase
P07203,GPX1,-1.85,0.000232,up_in_3D,Glutathione peroxidase 1
Q06203,PPAT,-1.66,0.000659,up_in_3D,Amidophosphoribosyltransferase
Q9NZ45,CISD1,-1.57,0.000495,up_in_3D,CDGSH iron-sulfur domain-containing protein 1
Q13938,CAPS,-1.53,0.000692,up_in_3D,Calcyphosin
Q8TAX9,GSDMB,-1.34,0.00645,up_in_3D,Gasdermin-B
Q96BS2,TESC,-1.3,0.000536,up_in_3D,Calcineurin B homologous protein 3
Q93099,HGD,-1.28,0.00252,up_in_3D,"Homogentisate 1,2-dioxygenase"
P55011,SLC12A2,-1.27,0.000241,up_in_3D,Solute carrier family 12 member 2
P35754,GLRX,-1.25,0.000651,up_in_3D,Glutaredoxin-1
P28340,POLD1,-1.22,0.000679,up_in_3D,DNA polymerase delta catalytic subunit
P15559,NQO1,-1.22,0.000469,up_in_3D,NAD(P)H dehydrogenase [quinone] 1
P32456,GBP2,-1.18,0.000651,up_in_3D,Guanylate-binding protein 2
Q96CP2,FLYWCH2,-1.14,0.00426,up_in_3D,FLYWCH family member 2
Q12955,ANK3,-1.14,0.000241,up_in_3D,Ankyrin-3
Q96FV2,SCRN2,-1.12,0.000504,up_in_3D,Secernin-2
O43490,PROM1,-1.12,0.00381,up_in_3D,Prominin-1
P34949,MPI,-1.07,0.000715,up_in_3D,Mannose-6-phosphate isomerase
P98088,MUC5AC,-1.06,0.000536,up_in_3D,Mucin-5AC
P41212,ETV6,-1.04,0.00568,up_in_3D,Transcription factor ETV6
O15438,ABCC3,-1.04,0.0016,up_in_3D,ATP-binding cassette sub-family C member 3
O95163,ELP1,-1.03,0.00339,up_in_3D,Elongator complex protein 1
Q04446,GBE1,-1.0,0.00183,up_in_3D,"1,4-alpha-glucan-branching enzyme"
P61604,HSPE1,1.01,0.000822,down_in_3D,"10 kDa heat shock protein, mitochondrial"
Q14534,SQLE,1.01,0.00189,down_in_3D,Squalene monooxygenase
Q8NE86,MCU,1.01,0.0013,down_in_3D,"Calcium uniporter protein, mitochondrial"
Q9Y5Y6,ST14,1.02,0.00321,down_in_3D,Suppressor of tumorigenicity 14 protein
P18510,IL1RN,1.03,0.00617,down_in_3D,Interleukin-1 receptor antagonist protein
Q9UBM7,DHCR7,1.04,0.0099,down_in_3D,7-dehydrocholesterol reductase
Q01650,SLC7A5,1.05,0.000848,down_in_3D,Large neutral amino acids transporter small subunit 1
Q08722,CD47,1.05,0.00165,down_in_3D,Leukocyte surface antigen CD47
P00533,EGFR,1.05,0.000651,down_in_3D,Epidermal growth factor receptor
P06899,H2BC11,1.05,0.00661,down_in_3D,Histone H2B type 1-J
O00767,SCD,1.05,0.00993,down_in_3D,Stearoyl-CoA desaturase
P17301,ITGA2,1.08,0.00188,down_in_3D,Integrin alpha-2
P46976,GYG1,1.08,0.000536,down_in_3D,Glycogenin-1
Q10472,GALNT1,1.08,0.00397,down_in_3D,Polypeptide N-acetylgalactosaminyltransferase 1
O94901,SUN1,1.1,0.00445,down_in_3D,SUN domain-containing protein 1
Q7Z7M9,GALNT5,1.11,0.00174,down_in_3D,Polypeptide N-acetylgalactosaminyltransferase 5
Q04695,KRT17,1.11,0.000356,down_in_3D,"Keratin, type I cytoskeletal 17"
P54709,ATP1B3,1.13,0.00108,down_in_3D,Sodium/potassium-transporting ATPase subunit beta-3
P09758,TACSTD2,1.13,0.000789,down_in_3D,Tumor-associated calcium signal transducer 2
Q6PIU2,NCEH1,1.15,0.00111,down_in_3D,Neutral cholesterol ester hydrolase 1
P04908,H2AC4,1.15,0.00872,down_in_3D,Histone H2A type 1-B/E
O75616,ERAL1,1.17,0.00134,down_in_3D,"GTPase Era, mitochondrial"
Q6NZI2,CAVIN1,1.17,0.00322,down_in_3D,Caveolae-associated protein 1
O60422,ONECUT3,1.17,0.00381,down_in_3D,One cut domain family member 3
P11387,TOP1,1.19,0.00339,down_in_3D,DNA topoisomerase 1
Q13751,LAMB3,1.2,0.000848,down_in_3D,Laminin subunit beta-3
Q7L5A8,FA2H,1.2,0.000549,down_in_3D,Fatty acid 2-hydroxylase
P13995,MTHFD2,1.22,0.00159,down_in_3D,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial"
A1L3X0,ELOVL7,1.23,0.00147,down_in_3D,Very long chain fatty acid elongase 7
P57088,TMEM33,1.23,0.00276,down_in_3D,Transmembrane protein 33
P48200,IREB2,1.24,0.000241,down_in_3D,Iron-responsive element-binding protein 2
P08581,MET,1.25,0.0067,down_in_3D,Hepatocyte growth factor receptor
P15151,PVR,1.26,0.00277,down_in_3D,Poliovirus receptor
Q9NX18,SDHAF2,1.27,0.006,down_in_3D,"Succinate dehydrogenase assembly factor 2, mitochondrial"
P37268,FDFT1,1.31,0.00251,down_in_3D,Squalene synthase
Q9C075,KRT23,1.33,0.000414,down_in_3D,"Keratin, type I cytoskeletal 23"
P11166,SLC2A1,1.35,0.000536,down_in_3D,"Solute carrier family 2, facilitated glucose transporter member 1"
Q13753,LAMC2,1.37,0.000659,down_in_3D,Laminin subunit gamma-2
Q9HCY8,S100A14,1.44,0.00284,down_in_3D,Protein S100-A14
