Protein ID,2D_1,2D_2,2D_3,3D_1,3D_2,3D_3
A0AV96,24.133005144139762,24.22129667238834,24.254882284261736,23.994517106498392,23.950668642347377,24.0110813427633
A0AVT1,23.228633909675317,23.188426459008923,23.213678429464824,23.230911562693308,23.371220028634973,23.447753954386997
A0FGR8,25.21270357628879,25.1282122783048,24.89969508870087,24.930607053412615,24.955679524957652,24.799823093457242
A0MZ66,22.118123163633403,21.920513326714115,22.074216446515926,22.500122796282877,22.498241029477864,22.174580885712835
A1L0T0,24.16017410992762,24.499051591312703,24.000521529103253,23.762238872337562,23.86112421058426,23.733504870597162
A1L3X0,22.293718883615277,22.64849604958003,22.15354120838708,21.230311039644917,21.065712278467657,21.115621696779037
A3KMH1,22.970136529604797,23.43052107989007,23.073184301481632,22.57563976234615,22.63381961878614,22.526464255459054
A3KN83,21.77002051869414,21.57643613768882,21.572467089967127,21.257560777181943,21.309350892395475,21.54740471261746
A5YKK6,23.10912588184856,23.11318289177032,23.15517337542821,23.36173231890033,23.319547956510764,23.23602645823243
A6NDG6,23.910884964626437,23.92647842838096,23.947410250666856,23.821458895112713,23.91686460335319,23.82682300306272
A6NHR9,23.534708128453442,23.58918159519656,23.588585749153655,23.50392422052303,23.383314582767696,23.42979734940486
A8MWD9,26.074297306991312,26.417477556053985,26.3573472552305,26.15569260203316,26.39668973096562,26.856866116886067
C9JI98,21.709926791283213,21.367371449609745,21.45139350018861,21.71483159410175,21.76716042176566,21.78880426475777
C9JLW8,21.41721446340832,21.226901337620532,21.418678760482024,21.833538772695345,21.74939514042267,21.969133532839916
E9PAV3,26.313297869199904,26.214741693822358,26.301909618011045,26.34512433640694,26.27875045904672,26.02298745249738
E9PRG8,23.196031437514346,23.076869733625692,23.115375188411953,22.850660711948784,22.66442362937492,22.898490680023144
O00116,24.178291005181716,24.401973718220926,24.155647751316927,23.844478785570267,23.7681575646594,23.85597463877105
O00139,23.080114704251077,23.1317638797371,23.076097443001224,23.158009895106314,23.086325770049406,23.030828926348043
O00148,24.390285877109708,24.358127603799097,24.19266034132192,24.100552626818757,24.09970977828073,24.01797157403333
O00151,24.595244959012145,24.50791147783459,24.53751702224916,24.72975152384767,24.777398102919744,24.553138960952268
O00154,24.33907700347033,24.05863340766997,24.228244016415044,24.128013678807953,24.010541081473136,24.008939935054585
O00159,23.950177553047318,24.180951559150802,23.98256620044995,23.758609446382774,24.04173049623945,23.838946136582308
O00161,23.28812624967484,23.08207024449382,23.62143697881551,23.228895002912488,23.55261363696697,23.506795207190763
O00170,24.48500366322609,24.47851153998133,24.438087874314313,24.594174002448778,24.6757363400353,24.589320830586924
O00178,22.29834202297757,22.345619784740553,22.27611318530438,22.558293296325324,22.59859129685563,22.51387792024953
O00186,24.494284791440784,24.526963737181095,24.40322089548263,24.506639785189588,24.39477942275126,24.35140325041269
O00193,24.573588367324867,24.085522381881457,23.761723578882634,24.648354948583194,24.380649449783988,24.227766782243194
O00194,23.62102093817481,23.794727000543205,23.566383916724533,23.698505124950103,24.000987874015188,23.643127569856905
O00203,23.698450545508518,23.81794907539212,23.869158726052934,23.94793179214582,23.804090341903525,23.865251954727253
