gene,uniprot,log2FC_2Dvs3D,padj,dir_3D,modalities,approved,drug_count,max_phase,luad_score,description,lung_ca_score,chembl_sterol_axis,druggable_any
NDRG1,Q92597,-2.04,0.00117,up_in_3D,"AB,PR",False,0,,,Protein NDRG1,0.392,,False
ALDH1L1,O75891,-1.95,0.000241,up_in_3D,"PR,SM",False,0,,,Cytosolic 10-formyltetrahydrofolate dehydrogenase,,,False
GPX1,P07203,-1.85,0.000232,up_in_3D,"PR,SM",False,0,,,Glutathione peroxidase 1,,,False
PPAT,Q06203,-1.66,0.000659,up_in_3D,"PR,SM",True,3,4.0,,Amidophosphoribosyltransferase,,,True
CISD1,Q9NZ45,-1.57,0.000495,up_in_3D,"AB,PR,SM",False,0,,,CDGSH iron-sulfur domain-containing protein 1,,,False
CAPS,Q13938,-1.53,0.000692,up_in_3D,"AB,SM",False,0,,,Calcyphosin,,,False
GSDMB,Q8TAX9,-1.34,0.00645,up_in_3D,"AB,PR",False,0,,,Gasdermin-B,,,False
TESC,Q96BS2,-1.3,0.000536,up_in_3D,"AB,PR",False,0,,,Calcineurin B homologous protein 3,,,False
HGD,Q93099,-1.28,0.00252,up_in_3D,PR,False,0,,,"Homogentisate 1,2-dioxygenase",,,False
SLC12A2,P55011,-1.27,0.000241,up_in_3D,"AB,PR,SM",False,0,,,Solute carrier family 12 member 2,,,False
GLRX,P35754,-1.25,0.000651,up_in_3D,"PR,SM",False,0,,,Glutaredoxin-1,,,False
POLD1,P28340,-1.22,0.000679,up_in_3D,"PR,SM",True,7,4.0,,DNA polymerase delta catalytic subunit,0.69,,True
NQO1,P15559,-1.22,0.000469,up_in_3D,"PR,SM",False,1,3.0,,NAD(P)H dehydrogenase [quinone] 1,0.111,,True
GBP2,P32456,-1.18,0.000651,up_in_3D,"PR,SM",False,0,,,Guanylate-binding protein 2,0.079,,False
FLYWCH2,Q96CP2,-1.14,0.00426,up_in_3D,PR,False,0,,,FLYWCH family member 2,,,False
ANK3,Q12955,-1.14,0.000241,up_in_3D,"AB,PR",False,0,,,Ankyrin-3,,,False
SCRN2,Q96FV2,-1.12,0.000504,up_in_3D,PR,False,0,,,Secernin-2,0.007,,False
PROM1,O43490,-1.12,0.00381,up_in_3D,"AB,PR",False,0,,,Prominin-1,,,False
MPI,P34949,-1.07,0.000715,up_in_3D,"AB,PR,SM",False,0,,,Mannose-6-phosphate isomerase,,,False
