Term,ES,NES,NOM p-val,FDR q-val,Lead_genes
Cholesterol_biosynthesis,0.7407014701828698,2.0333110668884045,0.0,0.0,HMGCS1;MSMO1;SQLE;FDFT1;DHCR24;NSDHL;MVD;DHCR7;SCD;LSS
Cell_adhesion_ECM,0.6637143364481595,1.7839925928294968,0.0,0.0007518796992481203,EPHA2;EGFR;TJP1;ITGB1;MET;ITGA3;PKP2
Oxidative Phosphorylation [MSigDB],0.523371469655554,2.1156675092786332,0.0,0.0,PMPCA;IDH3A;MDH2;FH;LRPPRC;TIMM10;HSPA9;SLC25A5;VDAC1;TOMM22;VDAC2;DLAT;SLC25A3;RHOT2;GOT2;TIMM13;ETFA;MRPL15;TIMM9;MRPS30;SLC25A12;TIMM8B;ETFB;SLC25A6;VDAC3;ACAT1;COX4I1;ATP5F1D;GRPEL1;IDH3G;GLUD1;MRPL35;ATP5F1A;IMMT;POR;IDH3B;SUCLG1;COX5A;ATP6AP1;TIMM50;ACADVL;ACAA2;ATP5F1B;POLR2F;OPA1;NDUFB6;PRDX3;DLST;ATP5PO;IDH2;ATP5ME;CS;ATP6V1F;NNT;HSD17B10;ATP5PF;UQCRB;OXA1L;UQCRC2;DLD;ECHS1;COX7A2L;SUCLA2;ATP5PD;PDHB;HCCS;PDHA1;AIFM1;PDHX;OAT;ATP5MF;AFG3L2;ATP6V1G1;COX5B;MTX2;OGDH;ATP5F1C;ECI1;UQCRC1;HADHA;MRPL11;ACAA1;PHB2;ECH1;COX6B1;ATP5PB;RETSAT;NDUFB5;HTRA2;BCKDHA;TOMM70;COX6C;HADHB;CPT1A;MRPS15;MRPS22;ACADM;SUPV3L1
Myc Targets V2 [MSigDB],0.5747743162608387,1.9849892655200596,0.0,0.0008777239709443099,HSPE1;TFB2M;HSPD1;NOP16;GNL3;PPAN;PRMT3;MPHOSPH10;TBRG4;WDR43;UTP20;DDX18;MRTO4;RRP12;NPM1;NOP2;NOC4L;PES1;GRWD1;BYSL;WDR74;RRP9;PLK1;SRM;NIP7;NOP56;RCL1;NDUFAF4;LAS1L;SUPV3L1;CBX3
Estrogen Response Early [MSigDB],0.5524985887097372,1.8952758706783839,0.0,0.0008777239709443098,SLC2A1;KRT13;PPIF;SLC7A5;MYOF;FLNB;KRT18;FDFT1;KRT8;SLC27A2;ZNF185;FHL2;DHCR7;TPBG;SFN;RRP12;CD44;KRT19
Hypoxia [MSigDB],-0.4687012011505747,-1.888420544772196,0.0,0.028093645484949834,GLRX;PGM1;NDRG1;GBE1;GAA;ALDOC;ISG20;PGK1;TPD52;PFKL;UGP2;GPI;GAPDH;GALK1;LDHA;GYS1;TPI1;ALDOA;ENO1;NAGK;PGM2;LXN;PFKFB3;GRHPR
Interferon Alpha Response [MSigDB],-0.5089641588178608,-1.8371521919172937,0.0,0.01939799331103679,GBP2;SAMD9;LGALS3BP;ISG20;STAT2;TRIM21;PSMB9;PSMB8;IFI35;PSME1;CMTR1;ADAR;NMI;OGFR
Unfolded Protein Response [MSigDB],0.4812661199898891,1.756605701957466,0.0,0.010532687651331718,SLC7A5;MTHFD2;CALR;DNAJC3;HSPA5;HSPA9;SRPRB;HSP90B1;PDIA6;PREB;HYOU1;ALDH18A1;ATP6V0D1;CKS1B;SEC11A;NPM1;BANF1;SRPRA;GOSR2;PDIA5;SPCS3;DDX10;IMP3;NHP2;RRP9;SPCS1;EXOSC2;NOP14;SSR1;EXOSC1;NOP56
Reactive Oxygen Species Pathway [MSigDB],-0.4851143971785684,-1.7417325027303825,0.014084507042253521,0.026309921962095875,NQO1;GLRX;G6PD;TXNRD1;GSR;GCLC;PTPA;GCLM;CAT;SOD1;LAMTOR5;OXSR1
Estrogen Response Late [MSigDB],0.49916965207240266,1.7349080159542525,0.0013869625520110957,0.011761501210653752,KRT13;PPIF;LAMC2;SLC7A5;CD9;MYOF;FLNB;FDFT1;ST14;SLC27A2;TOP2A;ETFB;DHCR7;TPBG;SFN;LSR;CD44;KRT19;IDH2;DCXR;LLGL2
