gene,rho,p,n,is_sterol
MET,0.8079316820173479,6.753506274166874e-50,211,False
GALNT5,0.7706301656851599,9.088864737742439e-43,211,False
HSPE1,0.7453494462257765,1.1621958017146124e-38,211,False
MTHFD2,0.7381816788237248,1.3881304266931413e-37,211,False
S100A14,0.7281358183978233,3.9264538130170683e-36,211,False
ST14,0.7247556878425161,1.1692718659348962e-35,211,False
EGFR,0.7137351336850578,3.6747513844840584e-34,211,False
NCEH1,0.7059069250520561,3.8596261450205946e-33,211,False
SLC7A5,0.6815446915598933,3.635869242597614e-30,211,False
GALNT1,0.6667543848443429,1.6955623452616539e-28,211,False
TFRC,0.6607542060014564,7.574656899706262e-28,211,False
KRT17,0.631790600528864,6.577721835848299e-25,211,False
CD47,0.6133787253611989,3.389041680345009e-23,211,False
CD9,0.6120693399420037,4.4419967513095155e-23,211,False
MCU,0.5842873749696605,1.0408208568117804e-20,211,False
ITGA2,0.5771004458297672,3.927891397468857e-20,211,False
SCD,0.5742875027145796,6.547529595866985e-20,211,True
TMEM33,0.5633129367279416,4.590647782262441e-19,211,False
FDFT1,0.5617544487168024,6.018079395909321e-19,211,True
IL1RN,0.5362440589327663,1.955761378419713e-16,202,False
CXCL5,0.5185717827919663,6.5084085635039045e-09,110,False
KRT23,0.513795609508471,2.677036690557521e-09,118,False
ELOVL7,0.5133043057571359,8.478006436167766e-05,53,False
DHCR7,0.5080836984708934,3.0045220305100114e-15,211,True
TOP1,0.49648318238142086,1.5661390143397544e-14,211,False
LAMC2,0.47621389609228293,2.423700611125704e-13,211,False
ERAL1,0.46333593081335195,1.2606242342106813e-12,211,False
PVR,0.45867068637344954,2.2526793004722523e-12,211,False
EPHA2,0.4559354619382238,9.191610763752873e-12,202,False
SUN1,0.4469794713915255,9.28859270304104e-12,211,False
LAMB3,0.40996665857615516,5.85959582544576e-10,211,False
RHOF,0.3765971308491205,1.630993440623419e-08,211,False
FA2H,0.3706229599277727,3.088115975170232e-05,120,False
SQLE,0.36367700974693734,5.366618072825615e-08,211,True
ATP1B3,0.3572923186980238,9.484592023786436e-08,211,False
MSMO1,0.29808510366500174,1.0589872596222196e-05,211,True
CYP24A1,0.291620661872221,0.004565735499885948,93,False
GYG1,0.2844611080594269,2.7350856364582383e-05,211,False
TACSTD2,0.24047980991556064,0.0004246340795435415,211,False
IREB2,0.138561081232994,0.044381685710470464,211,False
SDHAF2,0.13838751637613117,0.059604943448542405,186,False
SLC2A1,-0.3235229493746887,1.5765647232485283e-06,211,False
