Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	2D_1 Spectral Count	2D_2 Spectral Count	2D_3 Spectral Count	3D_1 Spectral Count	3D_2 Spectral Count	3D_3 Spectral Count	2D_1 Unique Spectral Count	2D_2 Unique Spectral Count	2D_3 Unique Spectral Count	3D_1 Unique Spectral Count	3D_2 Unique Spectral Count	3D_3 Unique Spectral Count	2D_1 Total Spectral Count	2D_2 Total Spectral Count	2D_3 Total Spectral Count	3D_1 Total Spectral Count	3D_2 Total Spectral Count	3D_3 Total Spectral Count	2D_1 Intensity	2D_2 Intensity	2D_3 Intensity	3D_1 Intensity	3D_2 Intensity	3D_3 Intensity	2D_1 MaxLFQ Intensity	2D_2 MaxLFQ Intensity	2D_3 MaxLFQ Intensity	3D_1 MaxLFQ Intensity	3D_2 MaxLFQ Intensity	3D_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|Cont_P00735|THRB_BOVIN	Cont_P00735	THRB_BOVIN	F2	625	Bos taurus	1:Experimental evidence at protein level	Prothrombin	0.9803	0.999	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2049181.8	1260578.1	0.0	0.0	0.0	0.0	0.0	0.0	sp|P00734|THRB_HUMAN
contam_sp|Cont_P00760|TRY1_BOVIN	Cont_P00760	TRY1_BOVIN	PRSS1	246	Bos taurus	1:Experimental evidence at protein level	Serine protease 1	1.0	0.999	4	6	6	6	0	0	0	4	0	2	0	0	0	4	0	2	0	0	0	4	0	2	0.0	0.0	5.1312516E7	1.9937028E7	5.658777E7	6.0145984E7	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Cont_P00761|TRYP_PIG	Cont_P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	10	852	852	852	160	128	139	147	119	159	160	128	139	147	119	159	160	128	139	147	119	159	5.2289265E9	4.0326505E9	5.120085E9	4.780884E9	3.4326674E9	4.6475633E9	2.2023245E9	1.6646171E9	2.1723003E9	2.0449462E9	1.6761428E9	2.0425824E9	
contam_sp|Cont_P00883|ALDOA_RABIT	Cont_P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	0.9982	0.9836	34	1	1	1508	0	0	0	0	0	1	0	0	0	0	0	1	247	236	205	282	293	245	0.0	0.0	0.0	0.0	0.0	3649698.2	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Cont_P01966|HBA_BOVIN	Cont_P01966	HBA_BOVIN	HBA	142	Bos taurus	1:Experimental evidence at protein level	Hemoglobin subunit alpha	1.0	0.999	6	31	17	31	4	2	0	0	13	12	3	2	0	0	5	7	4	2	0	0	13	12	1.1533359E7	1.6195121E7	5235528.5	4018643.0	5.9669164E7	3.103966E7	5175011.0	4830606.0	4065642.0	1080658.4	1.18609E7	7462970.5	
contam_sp|Cont_P02081|HBBF_BOVIN	Cont_P02081	HBBF_BOVIN		145	Bos taurus	1:Experimental evidence at protein level	Hemoglobin fetal subunit beta	1.0	0.999	14	63	42	63	0	0	0	7	23	33	0	0	0	4	14	24	0	0	0	7	23	33	1957364.9	1.020217E7	2419053.5	3.486241E7	9.625931E8	2.4145258E8	0.0	1.2768013E7	0.0	3.146837E7	7.142891E7	1.1620769E8	
contam_sp|Cont_P02769|ALBU_BOVIN	Cont_P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1.0	0.999	24	220	194	220	41	43	42	18	43	33	37	39	36	15	38	29	41	43	42	18	43	33	1.4525408E8	1.3886418E8	1.5624264E8	9.6989576E7	1.997543E8	1.6971995E8	3.1612096E7	3.186406E7	3.2738236E7	1.9082224E7	3.1202982E7	2.6051928E7	
contam_sp|Cont_P05784|K1C18_MOUSE	Cont_P05784	K1C18_MOUSE	Krt18	423	Mus musculus	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 18	1.0	0.999	16	24	24	717	4	7	6	2	2	3	4	7	6	2	2	3	133	144	144	96	99	101	1.8416896E7	4.0371564E7	2.601006E7	3657279.8	6954804.0	5101630.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Cont_P06868|PLMN_BOVIN	Cont_P06868	PLMN_BOVIN	PLG	812	Bos taurus	1:Experimental evidence at protein level	Plasminogen	0.9994	0.999	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	5424815.5	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|Cont_P08730|K1C13_MOUSE	Cont_P08730	K1C13_MOUSE	Krt13	437	Mus musculus	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 13	1.0	0.999	22	8	8	1210	5	2	1	0	0	0	5	2	1	0	0	0	216	225	212	179	191	187	0.0	4289118.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
