"name","X2D_1.MaxLFQ.Intensity","X2D_2.MaxLFQ.Intensity","X2D_3.MaxLFQ.Intensity","X3D_1.MaxLFQ.Intensity","X3D_2.MaxLFQ.Intensity","X3D_3.MaxLFQ.Intensity","Protein","Protein.ID","Entry.Name","Gene","Protein.Length","Organism","Protein.Existence","Description","Protein.Probability","Top.Peptide.Probability","Combined.Total.Peptides","Combined.Spectral.Count","Combined.Unique.Spectral.Count","Combined.Total.Spectral.Count","X2D_1.Spectral.Count","X2D_2.Spectral.Count","X2D_3.Spectral.Count","X3D_1.Spectral.Count","X3D_2.Spectral.Count","X3D_3.Spectral.Count","X2D_1.Unique.Spectral.Count","X2D_2.Unique.Spectral.Count","X2D_3.Unique.Spectral.Count","X3D_1.Unique.Spectral.Count","X3D_2.Unique.Spectral.Count","X3D_3.Unique.Spectral.Count","X2D_1.Total.Spectral.Count","X2D_2.Total.Spectral.Count","X2D_3.Total.Spectral.Count","X3D_1.Total.Spectral.Count","X3D_2.Total.Spectral.Count","X3D_3.Total.Spectral.Count","X2D_1.Intensity","X2D_2.Intensity","X2D_3.Intensity","X3D_1.Intensity","X3D_2.Intensity","X3D_3.Intensity","Indistinguishable.Proteins","imputed","num_NAs","X2D_vs_X3D_CI.L","X2D_vs_X3D_CI.R","X2D_vs_X3D_diff","X2D_vs_X3D_p.adj","X2D_vs_X3D_p.val","significant","X2D_vs_X3D_significant"
"A0AV96",24.1330051441398,24.2212966723883,24.2548822842617,23.9945171064984,23.9506686423474,24.0110813427633,"sp|A0AV96|RBM47_HUMAN","A0AV96","RBM47_HUMAN","RBM47",593,"Homo sapiens","1:Experimental evidence at protein level","RNA-binding protein 47",1,0.999,23,270,249,270,43,44,53,43,46,41,40,42,47,39,44,37,43,44,53,43,46,41,164211970,170600770,196955680,193395980,140719380,143749330,"",FALSE,0,0.0569242298219916,0.378353776298521,0.217639003060256,0.0430119702372994,0.0148102830997026,FALSE,FALSE
"A0AVT1",23.2286339096753,23.1884264590089,23.2136784294648,23.2309115626933,23.371220028635,23.447753954387,"sp|A0AVT1|UBA6_HUMAN","A0AVT1","UBA6_HUMAN","UBA6",1052,"Homo sapiens","1:Experimental evidence at protein level","Ubiquitin-like modifier-activating enzyme 6",1,0.999,28,230,230,230,34,32,31,40,49,44,34,32,31,40,49,44,34,32,31,40,49,44,96876570,101202540,109872040,114859100,123489230,134998300,"",FALSE,0,-0.322863351766923,0.0434321867227791,-0.139715582522072,0.199974408748064,0.114816277214674,FALSE,FALSE
"A0FGR8",25.2127035762888,25.1282122783048,24.8996950887009,24.9306070534126,24.9556795249577,24.7998230934572,"sp|A0FGR8|ESYT2_HUMAN","A0FGR8","ESYT2_HUMAN","ESYT2",921,"Homo sapiens","1:Experimental evidence at protein level","Extended synaptotagmin-2",1,0.999,19,97,97,97,16,19,16,17,18,11,16,19,16,17,18,11,16,19,16,17,18,11,104639010,115506456,96766024,88647990,78920930,79314696,"",FALSE,0,-0.0489542239856196,0.418621738296908,0.184833757155644,0.18509020853388,0.104244870036547,FALSE,FALSE
"A0MZ66",22.1181231636334,21.9205133267141,22.0742164465159,22.5001227962829,22.4982410294779,22.1745808857128,"sp|A0MZ66|SHOT1_HUMAN","A0MZ66","SHOT1_HUMAN","SHTN1",631,"Homo sapiens","1:Experimental evidence at protein level","Shootin-1",1,0.999,5,21,21,21,2,2,2,9,6,0,2,2,2,9,6,0,2,2,2,9,6,0,5878330,6116449,7425774,10439488,14496084,7524879,"",FALSE,0,-0.613289995770986,-0.0934378539690974,-0.353363924870042,0.0424971726113307,0.0145519217011536,FALSE,FALSE
"A1L0T0",24.1601741099276,24.4990515913127,24.0005215291033,23.7622388723376,23.8611242105843,23.7335048705972,"sp|A1L0T0|HACL2_HUMAN","A1L0T0","HACL2_HUMAN","HACL2",632,"Homo sapiens","1:Experimental evidence at protein level","2-hydroxyacyl-CoA lyase 2",1,0.999,12,93,93,93,15,20,18,15,13,12,15,20,18,15,13,12,15,20,18,15,13,12,90321690,116077480,86922424,66279756,67641750,64420680,"",FALSE,0,0.131953914582983,0.736632269966737,0.43429309227486,0.0351906042447942,0.01128767671363,FALSE,FALSE
"A1L3X0",22.2937188836153,22.64849604958,22.1535412083871,21.2303110396449,21.0657122784677,21.115621696779,"sp|A1L3X0|ELOV7_HUMAN","A1L3X0","ELOV7_HUMAN","ELOVL7",281,"Homo sapiens","1:Experimental evidence at protein level","Very long chain fatty acid elongase 7",0.9996,0.999,2,19,19,19,4,4,4,2,3,2,4,4,4,2,3,2,4,4,4,2,3,2,8386786,11028357,7778355.5,3955856.8,3503369.5,3763795,"",FALSE,0,0.920826116838385,1.53524796762213,1.22803704223026,0.00146930711048228,2.63969390437313e-05,TRUE,TRUE
"A3KMH1",22.9701365296048,23.4305210798901,23.0731843014816,22.5756397623461,22.6338196187861,22.5264642554591,"sp|A3KMH1|VWA8_HUMAN","A3KMH1","VWA8_HUMAN","VWA8",1905,"Homo sapiens","1:Experimental evidence at protein level","von Willebrand factor A domain-containing protein 8",1,0.999,20,87,87,87,13,31,18,7,9,9,13,31,18,7,9,9,13,31,18,7,9,9,48377908,75025320,76313170,27491664,23823324,26094226,"",FALSE,0,0.290810661690083,0.867801521233359,0.579306091461721,0.0114290707601977,0.00198481954041602,FALSE,FALSE
"A3KN83",21.7700205186941,21.5764361376888,21.5724670899671,21.2575607771819,21.3093508923955,21.5474047126175,"sp|A3KN83|SBNO1_HUMAN","A3KN83","SBNO1_HUMAN","SBNO1",1393,"Homo sapiens","1:Experimental evidence at protein level","Protein strawberry notch homolog 1",1,0.999,7,24,13,24,2,2,6,3,5,6,2,1,3,1,2,4,2,2,6,3,5,6,10122131,10531005,7303938,6805638.5,6182150.5,6522143,"",FALSE,0,0.0270753858680078,0.509329523568804,0.268202454718406,0.0793731321782253,0.0337790238086722,FALSE,FALSE
"A5YKK6",23.1091258818486,23.1131828917703,23.1551733754282,23.3617323189003,23.3195479565108,23.2360264582324,"sp|A5YKK6|CNOT1_HUMAN","A5YKK6","CNOT1_HUMAN","CNOT1",2376,"Homo sapiens","1:Experimental evidence at protein level","CCR4-NOT transcription complex subunit 1",1,0.999,37,223,223,223,28,35,30,45,45,40,28,35,30,45,45,40,28,35,30,45,45,40,90720200,90259144,101763550,134570850,122188410,121654870,"",FALSE,0,-0.340038574882611,-0.0198444815150244,-0.179941528198817,0.0769134447855791,0.0324386856824675,FALSE,FALSE
"A6NDG6",23.9108849646264,23.926478428381,23.9474102506669,23.8214588951127,23.9168646033532,23.8268230030627,"sp|A6NDG6|PGP_HUMAN","A6NDG6","PGP_HUMAN","PGP",321,"Homo sapiens","1:Experimental evidence at protein level","Phosphoglycolate phosphatase",1,0.999,8,72,72,72,10,12,14,11,12,13,10,12,14,11,12,13,10,12,14,11,12,13,61763840,59465532,65050604,58933550,57289056,56292156,"",FALSE,0,-0.0819294274539256,0.228347522217671,0.0732090473818729,0.419285287207289,0.303033068807667,FALSE,FALSE
